1,BUSTOS MENDOZA,CESAR ROGELIO,mendoza@gmail.com,2001-01-01
2,MALDONADO HINOJOSA,MARIA LUISA,maldonado@gmail.com,2001-01-01
3,RAMOS MARTINEZ,VIRIDIANA,viridiana@gmail.com,2001-01-01
4,LEON MORAN,KENIA SARAHI,moran@gmail.com,2001-01-01
5,OLMOS DAVILA,JOSE JULIAN,olmos@gmail.com,2001-01-01
6,AVILA RAMOS,FELIPE ,avila@gmail.com,2001-01-01
7,OLVERA OLVERA,ROSA ALICIA,olvera@gmail.com,2001-01-01
8,BUSTOS MENDOZA,CESAR ROGELIO,mendoza@gmail.com,2001-01-01
9,MALDONADO HINOJOSA,MARIA LUISA,maldonado@gmail.com,2001-01-01
10,RAMOS MARTINEZ,VIRIDIANA,viridiana@gmail.com,2001-01-01
11,LEON MORAN,KENIA SARAHI,moran@gmail.com,2001-01-01
12,OLMOS DAVILA,JOSE JULIAN,olmos@gmail.com,2001-01-01
13,AVILA RAMOS,FELIPE ,avila@gmail.com,2001-01-01
14,OLVERA OLVERA,ROSA ALICIA,olvera@gmail.com,2001-01-01
15,HERNANDEZ,QUENTIN,hernandez@gmail.com,2001-01-01
